Brand,Info,Price,IntPrice
DELL,"XPS 15 15.6"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver","£1,649.00",1649.0
LENOVO,"YOGA 530-14ARR 14"" AMD Ryzen 5 2 in 1 - 256 GB SSD, Black",£649.00,649.0
APPLE,"MacBook Pro 13"" - Silver (2017)","£1,099.00",1099.0
ASUS,"Flip C302 12.5"" Intel® Core™ m3 2 in 1 Chromebook - 64 GB eMMC, Silver",£499.00,499.0
HP,"Stream 11-y054sa 11.6"" Intel® Celeron™ Laptop - 32 GB eMMC, White",£169.98,169.98
HP,"11-v051na 11.6"" Intel® Celeron™ Chromebook - 16 GB eMMC, Grey",£179.00,179.0
LENOVO,"Ideapad 530S 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Black",£599.00,599.0
HP,"15-db0521sa 15.6"" AMD A6 Laptop - 1 TB HDD, Grey",£319.00,319.0
ACER,"Swift 3 15.6"" AMD Ryzen 5 Laptop - 256 GB SSD, Grey",£579.00,579.0
HP,"Pavilion 14-ce0510sa 14"" Intel® Core™ i5 Laptop - 256 GB SSD, Burgundy",£499.00,499.0
LENOVO,"YOGA 530 14"" AMD Ryzen 7 2 in 1 - 256 GB SSD, Black",£699.00,699.0
DELL,"Inspiron 5000 14"" Intel® Core™ i5 2 in 1 - 256 GB SSD, Grey",£699.00,699.0
HP,"OMEN 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD","£1,099.00",1099.0
DELL,"Inspiron 15 5000 15.6"" Intel® Core™ i3 Laptop - 1 TB HDD, White",£439.97,439.97
HUAWEI,"Matebook X Pro 13.9"" Intel® Core™ i5 Laptop - 256 GB SSD, Grey","£1,199.00",1199.0
HP,"ENVY 13-ah0503na 13.3"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver","£1,199.00",1199.0
APPLE,"MacBook Air 13.3"" with Retina Display (2018) - 256 GB SSD, Silver","£1,224.00",1224.0
ACER,"Swift 3 14"" Intel® Core™ i3 Laptop - 128 GB SSD, Silver",£429.00,429.0
MICROSOFT,"Surface Laptop 2 13.5"" Intel® Core™ i5 - 128 GB SSD, Platinum",£979.00,979.0
MICROSOFT,"12.3"" Intel® Core™ i5 Surface Pro 6 - 256 GB SSD, Black","£1,149.00",1149.0
LENOVO,"Ideapad 530S 14"" AMD Ryzen 5 Laptop - 256 GB SSD, Black",£549.00,549.0
LENOVO,"YOGA 530-14IKB 14"" Intel® Core™ i5 2 in 1 - 256 GB SSD, Black",£679.00,679.0
DELL,"Inspiron 15 7000 15.6"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver",£828.97,828.97
LENOVO,"Legion Y530 15.6"" Intel® Core™ i5 GTX 1050 Gaming Laptop - 1 TB HDD & 128 GB SSD",£769.00,769.0
LENOVO,"330-14AST 14"" AMD A6 Laptop - 1 TB HDD, Black & Silver",£245.00,245.0
DELL,"G5 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 256 GB SSD","£1,229.00",1229.0
ACER,"Aspire 3 A315-53 15.6"" Intel® Core™ i7 Laptop - 1 TB HDD, Black",£599.00,599.0
LENOVO,"Ideapad 320s-14IKB 14"" Intel® Pentium® Laptop - 128 GB SSD, White",£299.00,299.0
DELL,"Inspiron 15 5570 15.6"" Intel® Core™ i5 Laptop - 1 TB HDD, Black",£479.00,479.0
HP,"ENVY 17-bw0003sa 17.3"" Intel® Core™ i7 Laptop - 1 TB HDD, Silver","£1,099.00",1099.0
HP,"15-da0598sa 15.6"" Intel® Core™ i3 Laptop - 1 TB HDD, Blue",£379.00,379.0
DELL,"Inspiron 13 5000 13.3"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver",£579.00,579.0
HP,"Stream 11 x360 11.6"" Intel® Celeron™ 2 in 1 - 32 GB eMMC, Black",£229.99,229.99
LG,"GRAM i15Z980 15.6"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver","£1,049.00",1049.0
RAZER,"Blade 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop – 512 GB SSD","£1,779.00",1779.0
DELL,"XPS 15 9570 15.6"" Intel® Core™ i7 Laptop - 512 GB SSD, Silver","£1,949.00",1949.0
ASUS,"ROG Strix GL703GM 17.3"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD","£1,199.00",1199.0
ACER,"Aspire 3 15.6"" AMD Ryzen 7 Laptop - 1 TB HDD, Black",£499.00,499.0
HP,"Pavilion x360 14-cd0522na 14"" Intel® Core™ i3 2 in 1 - 128 GB SSD, Silver",£499.97,499.97
HP,"Pavilion x360 14-cd0505sa 14"" Intel® Core™ i5 2 in 1 - 128 GB SSD, Silver",£499.00,499.0
ACER,"Aspire 6 15.6"" Intel® Core™ i7 Laptop - 1 TB HDD, Black",£549.00,549.0
ACER,"Aspire 1 A114-31 14"" Intel® Celeron® Laptop - 64 GB eMMC, Black",£219.00,219.0
MICROSOFT,"12.3"" Intel® Core™ i5 Surface Pro 6 - 128 GB SSD, Platinum",£879.00,879.0
APPLE,"MacBook Air 13.3"" with Retina Display (2018) - 256 GB SSD, Space Grey","£1,399.00",1399.0
HP,"ENVY x2 12.3"" 2 in 1 with 24 GB 4G Data, Silver",£698.97,698.97
HP,"14"" AMD Ryzen 3 Laptop - 128 GB SSD, Black",£429.00,429.0
HP,"Pavilion 14-ce0504sa 14"" Intel® Core™ i3 Laptop - 128 GB SSD, Silver",£479.00,479.0
HP,"Pavilion 15-cw0505sa 15.6"" AMD Ryzen 3 Laptop - 128 GB SSD, Silver",£429.00,429.0
MICROSOFT,"Surface Pro 6 12.3"" Intel® Core™ m3 Laptop - 128 GB SSD, Platinum",£749.00,749.0
MSI,"Stealth GS75 17.3"" Intel® Core™ i7 RTX 2070 Gaming Laptop - 512 GB SSD","£2,299.00",2299.0
APPLE,"MacBook Air 13.3"" (2017)","£1,020.00",1020.0
HP,"Spectre x360 15.6"" Intel® Core™ i7 2 in 1 - 1 TB SSD, Dark Silver","£1,899.00",1899.0
ACER,"Chromebook R 13 CB5 2 in 1 - 64 GB eMMC, Silver",£399.00,399.0
DELL,"G3 15 15.6"" Intel® Core™ i7 GTX 1060 Gaming Laptop - 1 TB HDD & 128 GB SSD","£1,049.00",1049.0
HP,"Pavilion 15-cs1506sa 15.6” Intel® Core™ i7 Laptop - 256 GB SSD, Silver",£829.00,829.0
HP,"14-ck0598sa 14"" Intel® Core™ i5 Laptop - 128 GB SSD, Gold",£498.97,498.97
LENOVO,"IdeaPad 330-17IKB 17.3"" Intel® Core™ i3 Laptop - 1 TB HDD, Black",£469.00,469.0
HP,"15-db0598sa 15.6"" AMD A6 Laptop - 1 TB HDD, Blue",£319.00,319.0
MSI,"Stealth Thin GS65 15.6"" Intel® Core™ i7 GTX 1070 Gaming Laptop - 256 GB SSD","£1,599.00",1599.0
LENOVO,"YOGA 530-14IKB 14"" Intel® Core™ i3 2 in 1 - 256 GB SSD, Grey",£549.00,549.0
HP,"OMEN 15.6"" Intel® Core™ i5 GTX 1050 Gaming Laptop - 1 TB HDD & 128 GB SSD",£829.00,829.0
ACER,"Aspire 6 15.6"" Intel® Core™ i5 Laptop - 1 TB HDD, Black",£479.97,479.97
HUAWEI,"Matebook X 13"" Intel® Core™ i5 Laptop - 256 GB SSD, Grey",£949.00,949.0
HP,"17-by0511sa 17.3"" Intel® Core™ i3 Laptop - 1 TB HDD, Silver",£549.00,549.0
DELL,"Inspiron 15 7580 15.6"" Intel® Core™ i5 Laptop - 256 GB SSD, Silver",£779.00,779.0
LENOVO,"IdeaPad 330S 15.6"" Intel® Core™ i3 Laptop - 1 TB HDD, Blue",£449.00,449.0
LENOVO,"Ideapad 330-14IGM 14"" Intel® Celeron™ Laptop - Grey",£279.99,279.99
LENOVO,"IdeaPad 330-15ARR 15.6"" Ryzen 5 Laptop - 2 TB HDD, Black",£448.97,448.97
HP,"Pavilion 15-cx0598na 15.6"" Intel® Core™ i5 GTX 1050 Ti Gaming Laptop - 1 TB HDD & 128 GB SSD",£799.00,799.0
HP,"14-ca051sa 14"" Intel® Celeron™ Chromebook - 32 GB eMMC, White",£219.00,219.0
